DATE,HNFSEPUSSA
1963-01-01,235
1963-02-01,238
1963-03-01,242
1963-04-01,246
1963-05-01,248
1963-06-01,253
1963-07-01,254
1963-08-01,264
1963-09-01,257
1963-10-01,274
1963-11-01,258
1963-12-01,264
1964-01-01,261
1964-02-01,262
1964-03-01,263
1964-04-01,260
1964-05-01,266
1964-06-01,264
1964-07-01,263
1964-08-01,258
1964-09-01,256
1964-10-01,253
1964-11-01,249
1964-12-01,250
1965-01-01,248
1965-02-01,251
1965-03-01,243
1965-04-01,242
1965-05-01,238
1965-06-01,235
1965-07-01,235
1965-08-01,232
1965-09-01,231
1965-10-01,227
1965-11-01,231
1965-12-01,226
1966-01-01,228
1966-02-01,224
1966-03-01,225
1966-04-01,221
1966-05-01,216
1966-06-01,214
1966-07-01,210
1966-08-01,208
1966-09-01,208
1966-10-01,199
1966-11-01,193
1966-12-01,194
1967-01-01,193
1967-02-01,194
1967-03-01,191
1967-04-01,187
1967-05-01,187
1967-06-01,189
1967-07-01,184
1967-08-01,181
1967-09-01,184
1967-10-01,188
1967-11-01,186
1967-12-01,187
1968-01-01,189
1968-02-01,191
1968-03-01,192
1968-04-01,198
1968-05-01,199
1968-06-01,201
1968-07-01,203
1968-08-01,206
1968-09-01,208
1968-10-01,211
1968-11-01,214
1968-12-01,213
1969-01-01,215
1969-02-01,215
1969-03-01,216
1969-04-01,218
1969-05-01,221
1969-06-01,223
1969-07-01,224
1969-08-01,223
1969-09-01,224
1969-10-01,227
1969-11-01,222
1969-12-01,222
1970-01-01,213
1970-02-01,215
1970-03-01,217
1970-04-01,217
1970-05-01,217
1970-06-01,217
1970-07-01,220
1970-08-01,218
1970-09-01,218
1970-10-01,216
1970-11-01,212
1970-12-01,220
1971-01-01,220
1971-02-01,218
1971-03-01,224
1971-04-01,229
1971-05-01,236
1971-06-01,245
1971-07-01,248
1971-08-01,254
1971-09-01,263
1971-10-01,270
1971-11-01,278
1971-12-01,287
1972-01-01,296
1972-02-01,306
1972-03-01,318
1972-04-01,325
1972-05-01,338
1972-06-01,354
1972-07-01,360
1972-08-01,375
1972-09-01,382
1972-10-01,392
1972-11-01,400
1972-12-01,409
1973-01-01,414
1973-02-01,417
1973-03-01,415
1973-04-01,417
1973-05-01,417
1973-06-01,421
1973-07-01,429
1973-08-01,432
1973-09-01,428
1973-10-01,423
1973-11-01,417
1973-12-01,418
1974-01-01,414
1974-02-01,420
1974-03-01,410
1974-04-01,407
1974-05-01,399
1974-06-01,392
1974-07-01,380
1974-08-01,373
1974-09-01,362
1974-10-01,356
1974-11-01,350
1974-12-01,346
1975-01-01,347
1975-02-01,351
1975-03-01,337
1975-04-01,329
1975-05-01,323
1975-06-01,320
1975-07-01,319
1975-08-01,319
1975-09-01,319
1975-10-01,324
1975-11-01,316
1975-12-01,313
1976-01-01,312
1976-02-01,308
1976-03-01,320
1976-04-01,322
1976-05-01,331
1976-06-01,335
1976-07-01,338
1976-08-01,336
1976-09-01,340
1976-10-01,344
1976-11-01,349
1976-12-01,353
1977-01-01,354
1977-02-01,357
1977-03-01,359
1977-04-01,362
1977-05-01,364
1977-06-01,368
1977-07-01,375
1977-08-01,387
1977-09-01,388
1977-10-01,396
1977-11-01,400
1977-12-01,402
1978-01-01,404
1978-02-01,404
1978-03-01,404
1978-04-01,409
1978-05-01,413
1978-06-01,419
1978-07-01,419
1978-08-01,418
1978-09-01,416
1978-10-01,407
1978-11-01,414
1978-12-01,414
1979-01-01,411
1979-02-01,408
1979-03-01,421
1979-04-01,421
1979-05-01,428
1979-06-01,420
1979-07-01,420
1979-08-01,419
1979-09-01,413
1979-10-01,408
1979-11-01,400
1979-12-01,397
1980-01-01,392
1980-02-01,380
1980-03-01,376
1980-04-01,362
1980-05-01,350
1980-06-01,343
1980-07-01,337
1980-08-01,332
1980-09-01,336
1980-10-01,336
1980-11-01,339
1980-12-01,337
1981-01-01,334
1981-02-01,336
1981-03-01,328
1981-04-01,329
1981-05-01,325
1981-06-01,317
1981-07-01,312
1981-08-01,308
1981-09-01,304
1981-10-01,293
1981-11-01,282
1981-12-01,275
1982-01-01,276
1982-02-01,273
1982-03-01,268
1982-04-01,264
1982-05-01,258
1982-06-01,252
1982-07-01,249
1982-08-01,247
1982-09-01,247
1982-10-01,246
1982-11-01,247
1982-12-01,253
1983-01-01,259
1983-02-01,261
1983-03-01,262
1983-04-01,265
1983-05-01,273
1983-06-01,282
1983-07-01,288
1983-08-01,295
1983-09-01,299
1983-10-01,300
1983-11-01,307
1983-12-01,301
1984-01-01,302
1984-02-01,301
1984-03-01,321
1984-04-01,327
1984-05-01,334
1984-06-01,339
1984-07-01,340
1984-08-01,344
1984-09-01,342
1984-10-01,345
1984-11-01,350
1984-12-01,353
1985-01-01,355
1985-02-01,358
1985-03-01,356
1985-04-01,357
1985-05-01,358
1985-06-01,354
1985-07-01,351
1985-08-01,348
1985-09-01,349
1985-10-01,353
1985-11-01,353
1985-12-01,346
1986-01-01,352
1986-02-01,351
1986-03-01,336
1986-04-01,336
1986-05-01,337
1986-06-01,340
1986-07-01,349
1986-08-01,350
1986-09-01,354
1986-10-01,357
1986-11-01,354
1986-12-01,357
1987-01-01,356
1987-02-01,357
1987-03-01,358
1987-04-01,358
1987-05-01,353
1987-06-01,358
1987-07-01,360
1987-08-01,362
1987-09-01,362
1987-10-01,361
1987-11-01,363
1987-12-01,366
1988-01-01,367
1988-02-01,357
1988-03-01,372
1988-04-01,365
1988-05-01,367
1988-06-01,365
1988-07-01,365
1988-08-01,365
1988-09-01,363
1988-10-01,355
1988-11-01,366
1988-12-01,368
1989-01-01,369
1989-02-01,373
1989-03-01,375
1989-04-01,376
1989-05-01,377
1989-06-01,375
1989-07-01,369
1989-08-01,364
1989-09-01,366
1989-10-01,365
1989-11-01,365
1989-12-01,365
1990-01-01,365
1990-02-01,365
1990-03-01,362
1990-04-01,362
1990-05-01,358
1990-06-01,353
1990-07-01,350
1990-08-01,344
1990-09-01,339
1990-10-01,335
1990-11-01,328
1990-12-01,321
1991-01-01,315
1991-02-01,314
1991-03-01,308
1991-04-01,302
1991-05-01,298
1991-06-01,295
1991-07-01,294
1991-08-01,291
1991-09-01,291
1991-10-01,289
1991-11-01,287
1991-12-01,284
1992-01-01,281
1992-02-01,269
1992-03-01,279
1992-04-01,274
1992-05-01,273
1992-06-01,273
1992-07-01,271
1992-08-01,269
1992-09-01,265
1992-10-01,264
1992-11-01,262
1992-12-01,265
1993-01-01,266
1993-02-01,267
1993-03-01,270
1993-04-01,272
1993-05-01,275
1993-06-01,275
1993-07-01,278
1993-08-01,286
1993-09-01,287
1993-10-01,290
1993-11-01,293
1993-12-01,293
1994-01-01,294
1994-02-01,295
1994-03-01,298
1994-04-01,297
1994-05-01,302
1994-06-01,315
1994-07-01,319
1994-08-01,323
1994-09-01,331
1994-10-01,330
1994-11-01,333
1994-12-01,336
1995-01-01,341
1995-02-01,346
1995-03-01,346
1995-04-01,348
1995-05-01,349
1995-06-01,348
1995-07-01,344
1995-08-01,350
1995-09-01,353
1995-10-01,359
1995-11-01,366
1995-12-01,370
1996-01-01,369
1996-02-01,355
1996-03-01,368
1996-04-01,368
1996-05-01,361
1996-06-01,355
1996-07-01,350
1996-08-01,342
1996-09-01,330
1996-10-01,328
1996-11-01,330
1996-12-01,322
1997-01-01,308
1997-02-01,301
1997-03-01,288
1997-04-01,290
1997-05-01,287
1997-06-01,288
1997-07-01,289
1997-08-01,287
1997-09-01,284
1997-10-01,284
1997-11-01,281
1997-12-01,281
1998-01-01,282
1998-02-01,281
1998-03-01,284
1998-04-01,287
1998-05-01,287
1998-06-01,286
1998-07-01,285
1998-08-01,286
1998-09-01,289
1998-10-01,293
