DATE,NASDAQCOM
1987-01-01,384.2271428571429
1987-02-01,411.71263157894737
1987-03-01,432.20454545454544
1987-04-01,422.7714285714286
1987-05-01,416.634
1987-06-01,423.6959090909091
1987-07-01,429.0068181818182
1987-08-01,448.3847619047619
1987-09-01,442.79857142857145
1987-10-01,385.0536363636364
1987-11-01,318.75300000000004
1987-12-01,314.53818181818184
1988-01-01,339.279
1988-02-01,353.578
1988-03-01,375.54304347826087
1988-04-01,377.2355
1988-05-01,371.8809523809524
1988-06-01,385.9818181818182
1988-07-01,391.4015
1988-08-01,379.60652173913047
1988-09-01,382.15666666666664
1988-10-01,385.00857142857143
1988-11-01,372.8914285714286
1988-12-01,375.78285714285715
1989-01-01,389.32095238095235
1989-02-01,404.0821052631579
1989-03-01,403.9959090909091
1989-04-01,417.13
1989-05-01,435.9931818181818
1989-06-01,447.58272727272725
1989-07-01,446.6965
1989-08-01,461.8278260869566
1989-09-01,469.2785
1989-10-01,469.6809090909091
1989-11-01,454.6971428571428
1989-12-01,449.01450000000006
1990-01-01,439.3504545454545
1990-02-01,424.5242105263158
1990-03-01,436.0904545454545
1990-04-01,428.99300000000005
1990-05-01,442.5981818181818
1990-06-01,462.30619047619047
1990-07-01,455.8242857142857
1990-08-01,396.32260869565215
1990-09-01,368.5663157894737
1990-10-01,338.01347826086953
1990-11-01,347.6942857142857
1990-12-01,370.2125
1991-01-01,376.67227272727274
1991-02-01,442.58684210526314
1991-03-01,469.101
1991-04-01,496.3190909090909
1991-05-01,490.9336363636364
1991-06-01,490.375
1991-07-01,489.36863636363637
1991-08-01,513.2509090909091
1991-09-01,520.5595000000001
1991-10-01,528.9239130434783
1991-11-01,536.5835
1991-12-01,544.1009523809523
1992-01-01,615.7340909090909
1992-02-01,632.0484210526316
1992-03-01,619.5990909090909
1992-04-01,582.7904761904762
1992-05-01,581.473
1992-06-01,566.6586363636363
1992-07-01,568.7168181818182
1992-08-01,568.9971428571429
1992-09-01,580.6809523809524
1992-10-01,585.0118181818182
1992-11-01,630.8635
1992-12-01,661.2804545454545
1993-01-01,691.1345
1993-02-01,681.717894736842
1993-03-01,684.4908695652174
1993-04-01,665.3295238095238
1993-05-01,686.451
1993-06-01,695.3827272727273
1993-07-01,703.395238095238
1993-08-01,725.1486363636363
1993-09-01,745.9433333333333
1993-10-01,771.3071428571429
1993-11-01,764.0385714285715
1993-12-01,762.944090909091
1994-01-01,787.7685714285714
1994-02-01,787.8094736842106
1994-03-01,785.9252173913043
1994-04-01,732.2952631578947
1994-05-01,727.7642857142857
1994-06-01,723.2095454545455
1994-07-01,713.49
1994-08-01,738.8678260869565
1994-09-01,763.9380952380952
1994-10-01,762.4576190476191
1994-11-01,760.4190476190475
1994-12-01,734.9914285714285
1995-01-01,758.0123809523809
1995-02-01,784.2436842105262
1995-03-01,807.1621739130435
1995-04-01,825.3384210526316
1995-05-01,859.7590909090909
1995-06-01,906.0354545454545
1995-07-01,979.3635
1995-08-01,1009.5860869565217
1995-09-01,1051.0
1995-10-01,1022.1372727272727
1995-11-01,1046.6366666666665
1995-12-01,1047.035
1996-01-01,1024.9454545454546
1996-02-01,1094.0165
1996-03-01,1092.6471428571429
1996-04-01,1135.6280952380953
1996-05-01,1220.5404545454546
1996-06-01,1205.0755000000001
1996-07-01,1105.6127272727272
1996-08-01,1134.245909090909
1996-09-01,1186.442
1996-10-01,1234.0421739130436
1996-11-01,1259.831
1996-12-01,1292.1509523809523
1997-01-01,1345.4199999999998
1997-02-01,1349.17
1997-03-01,1282.8555000000001
1997-04-01,1225.0036363636364
1997-05-01,1352.5590476190475
1997-06-01,1422.452857142857
1997-07-01,1531.1413636363636
1997-08-01,1596.7419047619048
1997-09-01,1660.1490476190475
1997-10-01,1682.2747826086957
1997-11-01,1600.9747368421054
1997-12-01,1566.9968181818183
1998-01-01,1570.2345
1998-02-01,1714.872105263158
1998-03-01,1781.2695454545456
1998-04-01,1852.3000000000002
1998-05-01,1836.3925
1998-06-01,1795.7445454545452
1998-07-01,1941.5768181818182
1998-08-01,1784.7504761904763
1998-09-01,1663.4271428571428
1998-10-01,1615.6945454545455
1998-11-01,1888.721
1998-12-01,2071.0327272727272
1999-01-01,2357.7999999999997
1999-02-01,2356.9884210526316
1999-03-01,2391.14
1999-04-01,2537.8866666666668
1999-05-01,2512.5950000000003
1999-06-01,2520.9586363636367
1999-07-01,2741.2638095238094
1999-08-01,2642.449090909091
1999-09-01,2807.9466666666667
1999-10-01,2815.2766666666666
1999-11-01,3230.5485714285714
1999-12-01,3739.8786363636364
2000-01-01,4013.494
2000-02-01,4410.871
2000-03-01,4802.988260869565
2000-04-01,3863.6373684210525
2000-05-01,3528.416818181818
2000-06-01,3865.4768181818185
2000-07-01,4017.685
2000-08-01,3909.596956521739
2000-09-01,3875.822
2000-10-01,3333.8245454545454
2000-11-01,3055.4152380952382
2000-12-01,2657.8075
2001-01-01,2656.864285714286
2001-02-01,2449.5694736842106
2001-03-01,1986.663181818182
2001-04-01,1933.9279999999999
2001-05-01,2181.1286363636364
2001-06-01,2112.052857142857
2001-07-01,2033.9785714285715
2001-08-01,1929.712608695652
2001-09-01,1573.3100000000002
2001-10-01,1656.428260869565
2001-11-01,1870.0623809523809
2001-12-01,1977.7105
2002-01-01,1976.7685714285715
2002-02-01,1799.7189473684211
2002-03-01,1863.0455000000002
2002-04-01,1758.8022727272728
2002-05-01,1660.310909090909
2002-06-01,1505.4875
2002-07-01,1346.0854545454547
2002-08-01,1327.3604545454546
2002-09-01,1251.069
